wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1070.1282,0,0.58183,8.0282e-08,3.8945,4.4764
1070.1381,0,0.58183,8.0307e-08,3.8954,4.4772
1070.1480,0,0.58183,8.0333e-08,3.8963,4.4781
1070.1579,0,0.58183,8.0358e-08,3.8972,4.479
1070.1678,0,0.58183,8.0383e-08,3.898,4.4799
1070.1777,0,0.58183,8.0409e-08,3.8989,4.4807
1070.1876,0,0.58183,8.0434e-08,3.8998,4.4816
1070.1975,0,0.58183,8.046e-08,3.9007,4.4825
1070.2074,0,0.58183,8.0486e-08,3.9015,4.4834
1070.2173,0,0.58183,8.0511e-08,3.9024,4.4842
1070.2272,0,0.58183,8.0537e-08,3.9033,4.4851
1070.2371,0,0.58183,8.0563e-08,3.9042,4.486
1070.2470,0,0.58183,8.0589e-08,3.905,4.4869
1070.2569,0,0.58183,8.0615e-08,3.9059,4.4877
1070.2668,0,0.58183,8.0641e-08,3.9068,4.4886
1070.2767,0,0.58183,8.0667e-08,3.9077,4.4895
1070.2866,0,0.58183,8.0693e-08,3.9085,4.4904
1070.2965,0,0.58183,8.0719e-08,3.9094,4.4912
1070.3064,0,0.58183,8.0746e-08,3.9103,4.4921
1070.3163,0,0.58183,8.0772e-08,3.9112,4.493
1070.3262,0,0.58183,8.0798e-08,3.912,4.4939
1070.3361,0,0.58183,8.0825e-08,3.9129,4.4947
1070.3460,0,0.58183,8.0852e-08,3.9138,4.4956
1070.3559,0,0.58183,8.0878e-08,3.9147,4.4965
1070.3658,0,0.58183,8.0905e-08,3.9155,4.4974
1070.3757,0,0.58183,8.0932e-08,3.9164,4.4982
1070.3856,0,0.58183,8.0958e-08,3.9173,4.4991
1070.3955,0,0.58183,8.0985e-08,3.9182,4.5
1070.4054,0,0.58183,8.1012e-08,3.919,4.5009
1070.4153,0,0.58183,8.1039e-08,3.9199,4.5017
